id,target,source
1,na,na
2,2,1
3,,2
4,,3
5,,3
6,,5
7,,6
8,,7
9,,4
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,2,1
43,3,2
44,4,3
45,5,3
46,6,5
47,7,6
48,8,7
49,9,4
50,8,9
51,10,9
52,11,8
53,12,10
54,13,11
55,13,12
56,15,13
57,14,13
58,22,14
59,17,16
60,18,17
61,19,18
62,20,19
63,21,20
64,22,17
65,23,22
66,24,23
67,25,24
68,26,25
69,27,26
70,28,27
71,29,28
72,30,25
73,31,30
74,32,14
75,33,32
76,34,33
77,38,34
78,39,38
79,40,39
80,41,38
81,35,33
82,36,33
83,37,33
